MSD8_val_dice,MSD8_val_loss,epoch,lr-AdamW,step,train_base_loss,train_con_loss,train_loss,val_DiceMetric
0.23962371051311493,0.662232518196106,0,,0,,,,0.23962371051311493
,,,1e-05,9,,,,
,,,1e-05,9,,,,
,,0,,9,0.6237413287162781,0.03172609210014343,0.6554673910140991,
,,,9.999975572749199e-06,19,,,,
,,,9.999975572749199e-06,19,,,,
,,0,,19,0.43030187487602234,0.04539192467927933,0.47569379210472107,
,,,9.999902291237879e-06,29,,,,
,,,9.999902291237879e-06,29,,,,
,,0,,29,0.2817654609680176,0.06312937289476395,0.3448948264122009,
,,,9.999780156189303e-06,39,,,,
,,,9.999780156189303e-06,39,,,,
,,0,,39,0.4936360716819763,0.019784819334745407,0.5134208798408508,
,,,9.999609168808892e-06,49,,,,
,,,9.999609168808892e-06,49,,,,
,,0,,49,0.4153142273426056,0.06627372652292252,0.4815879464149475,
,,,9.999389330784222e-06,59,,,,
,,,9.999389330784222e-06,59,,,,
,,0,,59,0.3522588610649109,0.06317784637212753,0.415436714887619,
,,,9.999120644285007e-06,69,,,,
,,,9.999120644285007e-06,69,,,,
,,0,,69,0.2924671173095703,0.012882723473012447,0.30534982681274414,
,,,9.998803111963075e-06,79,,,,
,,,9.998803111963075e-06,79,,,,
,,0,,79,0.3105432391166687,0.0169412549585104,0.32748448848724365,
,,,9.998436736952338e-06,89,,,,
,,,9.998436736952338e-06,89,,,,
,,0,,89,0.2991586923599243,0.02108914405107498,0.3202478289604187,
,,,9.998021522868773e-06,99,,,,
,,,9.998021522868773e-06,99,,,,
,,0,,99,0.25737735629081726,0.034902844578027725,0.2922801971435547,
0.5605548620223999,0.3558509051799774,0,,99,,,,0.5605548620223999
,,,9.997557473810376e-06,109,,,,
,,,9.997557473810376e-06,109,,,,
,,0,,109,0.24213311076164246,0.050542786717414856,0.2926759123802185,
,,,9.99704459435712e-06,119,,,,
,,,9.99704459435712e-06,119,,,,
,,0,,119,0.21361041069030762,0.02585659921169281,0.23946700990200043,
,,,9.99648288957092e-06,129,,,,
,,,9.99648288957092e-06,129,,,,
,,0,,129,0.3958057165145874,0.0022739830892533064,0.39807969331741333,
,,,9.995872364995578e-06,139,,,,
,,,9.995872364995578e-06,139,,,,
,,0,,139,0.3283722400665283,0.0011645298218354583,0.3295367658138275,
,,,9.995213026656722e-06,149,,,,
,,,9.995213026656722e-06,149,,,,
,,0,,149,0.3143135607242584,0.03356211632490158,0.3478756844997406,
,,,9.994504881061757e-06,159,,,,
,,,9.994504881061757e-06,159,,,,
,,0,,159,0.18238402903079987,0.04360401630401611,0.22598804533481598,
,,,9.993747935199793e-06,169,,,,
,,,9.993747935199793e-06,169,,,,
,,0,,169,0.19365069270133972,0.0009527185466140509,0.19460341334342957,
,,,9.992942196541578e-06,179,,,,
,,,9.992942196541578e-06,179,,,,
,,0,,179,0.18136066198349,0.011518227867782116,0.19287888705730438,
,,,9.992087673039432e-06,189,,,,
,,,9.992087673039432e-06,189,,,,
,,0,,189,0.19165216386318207,0.009590402245521545,0.2012425661087036,
,,,9.991184373127154e-06,199,,,,
,,,9.991184373127154e-06,199,,,,
,,0,,199,0.21475522220134735,0.011004040949046612,0.22575926780700684,
0.6127549409866333,0.3106594681739807,0,,199,,,,0.6127549409866333
,,,9.99023230571995e-06,209,,,,
,,,9.99023230571995e-06,209,,,,
,,0,,209,0.26956334710121155,0.00338783860206604,0.2729511857032776,
